,intended vote,education,age
997,stay,4.0,47
998,leave,3.0,62
999,stay,3.0,54
1000,leave,,65
1001,leave,3.0,70
1002,leave,1.0,64
1003,stay,3.0,51
1004,leave,3.0,64
1005,leave,1.0,60
1006,stay,4.0,49
1007,leave,1.0,68
1008,leave,2.0,55
1009,stay,,72
1010,leave,2.0,70
1011,leave,3.0,65
1012,leave,3.0,63
1013,stay,3.0,68
1014,stay,4.0,48
1015,stay,5.0,31
1016,stay,2.0,71
1017,leave,4.0,62
1018,leave,5.0,66
1019,stay,4.0,72
1020,leave,4.0,73
1021,don't know,2.0,63
1022,leave,5.0,42
1023,leave,2.0,68
1024,stay,4.0,70
1025,don't know,3.0,58
1026,stay,3.0,78
1027,stay,4.0,51
1028,leave,4.0,70
1029,leave,2.0,49
1030,stay,3.0,38
1031,don't know,4.0,64
1032,leave,4.0,43
1033,stay,,85
1034,leave,4.0,58
1035,don't know,4.0,68
1036,stay,5.0,52
1037,leave,5.0,33
1038,leave,4.0,48
1039,stay,4.0,55
1040,leave,,48
1041,stay,5.0,40
1042,leave,4.0,69
1043,leave,1.0,66
1044,leave,2.0,79
1045,leave,3.0,62
1046,leave,,57
1047,stay,4.0,66
1048,leave,,68
1049,leave,3.0,67
1050,leave,3.0,58
1051,don't know,5.0,67
1052,leave,4.0,59
1053,leave,2.0,73
1054,leave,2.0,64
1055,leave,,70
1056,leave,4.0,74
1057,stay,2.0,66
1058,leave,4.0,60
1059,leave,1.0,67
1060,stay,,78
1061,leave,,69
1062,leave,,58
1063,leave,4.0,64
1064,stay,2.0,53
1065,stay,4.0,50
1066,leave,4.0,45
1067,leave,2.0,73
1068,leave,3.0,52
1069,stay,4.0,46
1070,stay,2.0,60
1071,stay,,65
1072,don't know,4.0,52
1073,don't know,5.0,58
1074,won't vote,,50
1075,leave,4.0,49
1076,stay,2.0,35
1077,stay,,66
1078,don't know,3.0,45
1079,leave,3.0,50
1080,leave,2.0,57
1081,stay,4.0,38
1082,leave,3.0,48
1083,leave,3.0,49
1084,stay,4.0,37
1085,leave,4.0,53
1086,leave,2.0,74
1087,stay,4.0,60
1088,stay,3.0,61
1089,stay,4.0,64
1090,leave,3.0,64
1091,stay,4.0,77
1092,leave,4.0,44
1093,don't know,2.0,71
1094,leave,4.0,80
1095,leave,5.0,43
1096,stay,4.0,70
1097,stay,4.0,69
1098,leave,4.0,70
1099,leave,4.0,47
1100,leave,2.0,50
1101,leave,2.0,56
1102,stay,5.0,29
1103,leave,4.0,59
1104,stay,4.0,34
1105,stay,4.0,61
1106,stay,2.0,66
1107,leave,4.0,64
1108,stay,3.0,36
1109,leave,2.0,58
1110,stay,3.0,39
1111,stay,3.0,45
1112,leave,,45
1113,stay,4.0,38
1114,don't know,5.0,61
1115,leave,3.0,72
1116,stay,3.0,60
1117,leave,4.0,72
1118,stay,2.0,62
1119,leave,1.0,48
1120,leave,3.0,63
1121,stay,1.0,65
1122,stay,3.0,71
1123,stay,,49
1124,leave,4.0,63
1125,stay,4.0,37
1126,leave,3.0,63
1127,stay,4.0,63
1128,leave,3.0,43
1129,stay,1.0,69
1130,stay,4.0,66
1131,leave,1.0,73
1132,stay,5.0,38
1133,leave,2.0,62
1134,leave,3.0,66
1135,stay,4.0,73
1136,leave,,55
1137,stay,4.0,64
1138,leave,,59
